,FileName,genotype,Time,TRL,GRTR,L1R,GR1R,TNLR,TLRL,N2LR,L2LR,ML2LR,GR2L,D2LR,Height,Width,Magnitude,Altitude,ExtPathLength
64,dense-3-7-10_1,dense,5,1535.433485,1062.992162,295.2756345,59.05514635,23,1240.15785,23,1240.15785,53.91990653,1003.937016,0.077893322,287.530747,163.964966,24,24,323
65,dense-3-7-10_1,dense,6,3425.197368,1889.763884,413.385882,118.1102475,27,3011.811486,27,3011.811486,111.5485736,1771.653636,0.065314277,405.579941,221.244965,28,28,433
66,dense-3-7-10_1,dense,7,5374.016616,1948.819247,531.4960388,118.1101567,37,4842.520577,37,4842.520577,130.8789345,1830.709091,0.069614818,523.60405,228.83374,38,38,778
67,dense-3-7-10_1,dense,8,7736.22144,2362.204825,649.6061999,118.1101611,47,7086.61524,47,7086.61524,150.7790477,2244.094663,0.072351526,638.074326,290.351471,48,48,1223
68,dense-3-7-10_1,dense,9,10039.37137,2303.149932,708.6613663,59.05516637,54,9330.710006,54,9330.710006,172.790926,2244.094766,0.076200005,689.472092,316.733215,55,55,1594
69,dense-3-7-10_1,dense,10,13818.89895,3779.527578,885.826698,177.1653317,54,12933.07225,54,12933.07225,239.501338,3602.362246,0.060960005,839.905503,324.967682,55,55,1594
70,dense-3-8-9_1,dense,3,118.1102626,118.1102626,118.1102125,118.1102125,3,5.01E-05,3,5.01E-05,1.67E-05,5.01E-05,0.025400005,115.265152,21.87989046,4,4,13
71,dense-3-8-9_1,dense,4,590.5513796,472.4411171,236.2204475,118.110235,9,354.3309321,9,354.3309321,39.37010357,354.3308821,0.038100004,223.559067,136.697815,10,10,64
72,dense-3-8-9_1,dense,5,1476.37848,885.8271002,354.3306724,118.110225,19,1122.047807,19,1122.047807,59.05514776,767.7168752,0.053622228,324.174912,268.794952,20,20,229
73,dense-3-8-9_1,dense,6,3602.36282,2125.984341,472.4408752,118.1102027,26,3129.921945,26,3129.921945,120.3816133,2007.874138,0.055033341,437.884506,373.494964,27,27,404
74,dense-3-8-9_1,dense,7,5078.740986,1476.378166,590.5511219,118.1102467,35,4488.189864,35,4488.189864,128.2339961,1358.267919,0.059266673,551.277756,434.53064,36,36,701
75,dense-3-8-9_1,dense,8,7854.331807,2775.590821,708.6614176,118.1102957,42,7145.67039,42,7145.67039,170.1350093,2657.480525,0.059266667,668.116806,499.365723,43,43,988
76,dense-3-8-9_1,dense,9,11102.36327,3248.031465,885.8267803,177.1653627,42,10216.53649,42,10216.53649,243.2508689,3070.866103,0.047413333,843.918808,564.960312,43,43,988
77,dense-3-9-12_1,dense,4,118.1102347,118.1102347,118.1102347,118.1102347,0,0,0,0,0,0,0,117.360398,11.5932725,1,1,1
78,dense-3-9-12_1,dense,5,236.2205556,118.1103209,236.2204961,118.1102614,3,5.95E-05,3,5.95E-05,1.98E-05,5.95E-05,0.012699999,235.209702,18.4504505,4,4,13
79,dense-3-9-12_1,dense,6,590.5514131,354.3308576,354.3307093,118.1102132,11,236.2207039,11,236.2207039,21.47460944,236.2206444,0.031044444,350.560715,75.645752,12,12,89
80,dense-3-9-12_1,dense,7,1417.323116,826.7717032,472.4409253,118.110216,19,944.882191,19,944.882191,49.73064163,708.6614871,0.040216668,463.802719,139.73352,20,20,229
81,dense-3-9-12_1,dense,8,3070.866588,1653.543472,531.4960888,59.05516352,26,2539.370499,26,2539.370499,97.66809613,1594.488308,0.048918516,522.258164,257.730041,27,27,404
82,dense-3-9-12_1,dense,9,5374.016556,2303.149968,649.6062817,118.1101929,33,4724.410274,33,4724.410274,143.1639477,2185.039775,0.050800001,640.26622,371.707367,34,34,628
83,dense-3-9-12_1,dense,10,7972.441602,2598.425046,767.7164959,118.1102143,36,7204.725106,36,7204.725106,200.1312529,2480.314832,0.04689231,756.573899,421.731476,37,37,739
84,dense-3-9-12_1,dense,11,9862.205503,1889.7639,885.826647,118.110151,44,8976.378856,44,8976.378856,204.0086104,1771.653749,0.049671118,872.243271,468.285736,45,45,1079
85,dense-3-9-12_1,dense,12,12283.46552,2421.260015,1062.992022,177.1653749,44,11220.4735,44,11220.4735,255.0107613,2244.09464,0.041392597,1045.841049,468.285736,45,45,1079
86,fast-6-1-10_1,fast,2,59.05511617,29.52755809,59.05511617,29.52755809,0,0,0,0,0,0,0,57.932694,6.908088814,1,1,1
87,fast-6-1-10_1,fast,3,472.4410324,413.3859162,236.2204785,177.1653623,5,236.2205539,5,236.2205539,47.24411078,236.2205539,0.021166666,234.705521,69.92114981,6,6,26
88,fast-6-1-10_1,fast,4,1535.433286,1062.992254,413.3858304,177.1653519,12,1122.047456,12,1122.047456,93.50395467,885.8269021,0.029028571,408.93602,146.522247,13,13,103
89,fast-6-1-10_1,fast,5,3307.086961,1771.653674,590.5512533,177.165423,19,2716.535708,19,2716.535708,142.9755636,1594.488252,0.032173329,585.781174,258.000427,20,20,229
90,fast-6-1-10_1,fast,6,6496.063616,3188.976655,767.7166209,177.1653676,26,5728.346995,26,5728.346995,220.3210383,3011.811288,0.033866663,761.590195,403.80188,27,27,404
91,fast-6-1-10_1,fast,7,9094.489204,2598.425588,885.8268207,118.1101998,34,8208.662384,34,8208.662384,241.4312466,2480.315388,0.03838222,879.001084,495.679718,35,35,664
92,fast-6-1-10_1,fast,8,12165.35534,3070.866136,1062.992233,177.1654124,39,11102.36311,39,11102.36311,284.6759771,2893.700724,0.036688885,1054.569931,495.679718,40,40,859
93,fast-6-1-10_1,fast,9,15708.66238,3543.307039,1240.157502,177.1652694,46,14468.50488,46,14468.50488,314.5327147,3366.141769,0.037092063,1226.10643,522.554962,47,47,1174
94,fast-6-1-10_1,fast,10,20019.68614,4311.023762,1476.377887,236.220385,51,18543.30825,51,18543.30825,363.5942795,4074.803377,0.034544002,1445.716049,602.843964,52,52,1429
95,fast-6-10-12_1,fast,3,59.05510407,19.68503469,59.05510407,19.68503469,0,0,0,0,0,0,0,58.891037,2.557000889,1,1,1
96,fast-6-10-12_1,fast,4,236.220497,177.1653929,236.220497,177.1653929,0,0,0,0,0,0,0,230.962631,42.81896389,1,1,1
97,fast-6-10-12_1,fast,5,472.4411332,236.2206362,354.3307472,118.1102502,4,118.110386,4,118.110386,29.52759649,118.110386,0.011288888,345.428879,111.009887,5,5,19
98,fast-6-10-12_1,fast,6,1240.157756,767.7166229,531.4961356,177.1653884,11,708.6616204,11,708.6616204,64.42378368,590.5512345,0.020696293,521.92009,198.76352,12,12,89
99,fast-6-10-12_1,fast,7,3129.921782,1889.764026,708.6615078,177.1653721,15,2421.260275,15,2421.260275,161.4173516,1712.598654,0.021166664,698.850937,280.711334,16,16,151
100,fast-6-10-12_1,fast,8,5314.961175,2185.039392,826.7717471,118.1102394,21,4488.189428,21,4488.189428,213.7233061,2066.929153,0.025399997,815.076279,353.248535,22,22,274
101,fast-6-10-12_1,fast,9,7145.670304,1830.70913,1003.93722,177.1654727,27,6141.733085,27,6141.733085,227.4715957,1653.543657,0.026894112,984.668076,424.205719,28,28,433
102,fast-6-10-12_1,fast,10,9035.434689,1889.764384,1122.047544,118.1103247,31,7913.387144,31,7913.387144,255.270553,1771.65406,0.027628063,1102.287949,424.205719,32,32,559
103,fast-6-10-12_1,fast,11,11515.74955,2480.314866,1299.212809,177.1652645,37,10216.53675,37,10216.53675,276.1226147,2303.149601,0.028478783,1277.252915,424.205719,38,38,778
104,fast-6-10-12_1,fast,12,14291.33998,2775.590423,1535.433322,236.220513,39,12755.90666,39,12755.90666,327.0745296,2539.36991,0.025399996,1503.85167,512.202027,40,40,859
105,fast-6-2-10_1,fast,2,59.05512575,29.52756287,59.05512575,29.52756287,0,0,0,0,0,0,0,58.88884,2.707777441,1,1,1
106,fast-6-2-10_1,fast,3,472.4411201,413.3859944,236.2204864,177.1653607,5,236.2206337,5,236.2206337,47.24412674,236.2206337,0.021166665,233.332566,76.921631,6,6,26
107,fast-6-2-10_1,fast,4,1653.543599,1181.102479,413.3858352,177.1653487,11,1240.157764,11,1240.157764,112.7416149,1003.93713,0.026609523,406.528183,223.624328,12,12,89
108,fast-6-2-10_1,fast,5,3248.031964,1594.488366,590.551206,177.1653708,18,2657.480758,18,2657.480758,147.6378199,1417.322995,0.030479999,580.675095,296.124237,19,19,208
109,fast-6-2-10_1,fast,6,5374.016375,2125.98441,708.6614286,118.1102227,26,4665.354946,26,4665.354946,179.4367287,2007.874188,0.036688888,742.098374,415.265289,27,27,404
110,fast-6-2-10_1,fast,7,7972.441902,2598.425528,885.8268065,177.1653779,31,7086.615096,31,7086.615096,228.600487,2421.26015,0.034995554,871.993515,415.265289,32,32,559
111,fast-6-2-10_1,fast,8,10511.8121,2539.370198,1062.992142,177.1653351,39,9448.819959,39,9448.819959,242.2774348,2362.204863,0.036688888,1047.82457,441.275299,40,40,859
112,fast-6-2-10_1,fast,9,13818.8986,3307.086503,1240.157403,177.1652614,45,12578.7412,45,12578.7412,279.5275822,3129.921241,0.036285717,1224.528427,523.778717,46,46,1126
113,fast-6-2-10_1,fast,10,17539.37121,3720.472606,1417.322752,177.1653494,48,16122.04846,48,16122.04846,335.8760095,3543.307257,0.033866669,1401.507065,687.032043,49,49,1273
114,fast-6-3-10_1,fast,2,59.05512483,29.52756241,59.05512483,29.52756241,0,0,0,0,0,0,0,58.95546,0.627338383,1,1,1
115,fast-6-3-10_1,fast,3,295.275667,236.2205421,236.2205074,177.1653826,3,59.05515953,3,59.05515953,19.68505318,59.05515953,0.012699998,235.551499,35.76662038,4,4,13
116,fast-6-3-10_1,fast,4,1181.102615,885.8269481,354.3306937,118.1101863,11,826.7719213,11,826.7719213,75.16108376,767.7167618,0.031044446,353.38945,179.352539,12,12,89
117,fast-6-3-10_1,fast,5,2952.756205,1771.653589,531.4961168,177.1654231,15,2421.260088,15,2421.260088,161.4173392,1594.488166,0.028222219,529.661423,231.456971,16,16,151
118,fast-6-3-10_1,fast,6,4901.574907,1948.818703,708.6613955,177.1652787,22,4192.913512,22,4192.913512,190.5869778,1771.653424,0.031044445,699.045334,356.717743,23,23,298
119,fast-6-3-10_1,fast,7,7322.834823,2421.259916,826.7717188,118.1103233,29,6496.063105,29,6496.063105,224.002176,2303.149593,0.035076188,815.895127,407.895904,30,30,494
120,fast-6-3-10_1,fast,8,9566.929541,2244.094717,1003.937023,177.1653046,33,8562.992517,33,8562.992517,259.4846217,2066.929413,0.032870588,991.055893,407.895904,34,34,628
