"","file","genotype","rep","age","plant","root","order","parentroot","time","bran","apic","x1","y1","z1","x2","y2","z2","diameter1","diameter2","length","blength","orientation","growth","geodesic","magnitude","pathlength"
"9667","shallow-2-1-12","shallow","1",8,1,7,2,1,8,"false","false",726.128479,397.032501,590.551208,780.689026,419.63028,590.551208,4.582105,4.582105,59.0551683146535,177.165404201764,67.5017385145752,177.165460049651,326.295115648021,1,7
"9668","shallow-2-1-12","shallow","1",8,1,7,2,1,8,"false","true",780.689026,419.63028,590.551208,827.426331,455.729248,590.551208,4.582105,4.582105,59.0551536220849,236.220557823849,52.3182135157113,177.165460049651,385.350269270105,1,7
"9669","shallow-2-1-12","shallow","1",6,1,8,2,1,6,"true","false",612.371173102372,405.0965555299,590.551208,612.371155,405.096558,590.551208,4.187041,4.187041,1.82701199423929e-05,1.82701199423929e-05,82.2298786865968,1.82701199423929e-05,170.434007726133,1,8
"9670","shallow-2-1-12","shallow","1",7,1,8,2,1,7,"false","false",612.371155,405.096558,590.551208,557.696106,427.415741,590.551208,4.187041,4.187041,59.0551175846759,59.0551358547958,67.7939735659382,59.0551175846759,229.489125310809,1,8
"9671","shallow-2-1-12","shallow","1",8,1,8,2,1,8,"false","false",557.696106,427.415741,590.551208,510.337036,462.695007,590.551208,4.187041,4.187041,59.0551278109162,118.110263665712,53.316411020318,59.0551278109162,288.544253121725,1,8
"9672","shallow-2-1-12","shallow","1",9,1,8,2,1,9,"false","false",510.337036,462.695007,590.551208,466.946381,502.754456,590.551208,4.187041,4.187041,59.0551301371238,177.165393802836,47.2859499534562,118.110258806243,347.599383258849,1,8
"9673","shallow-2-1-12","shallow","1",9,1,8,2,1,9,"false","false",466.946381,502.754456,590.551208,419.709625,538.197327,590.551208,4.187041,4.187041,59.0551286691187,236.220522471955,53.1182238990824,118.110258806243,406.654511927968,1,8
"9674","shallow-2-1-12","shallow","1",10,1,8,2,1,10,"false","false",419.709625,538.197327,590.551208,382.747742,584.255188,590.551208,4.187041,4.187041,59.0551213257666,295.275643797721,38.7473830946041,59.0551213257666,465.709633253734,1,8
"9675","shallow-2-1-12","shallow","1",11,1,8,2,1,11,"false","false",382.747742,584.255188,590.551208,349.278503,632.910278,590.551208,4.187041,4.187041,59.0551246052975,354.330768403019,34.5236051125089,59.0551246052975,524.764757859032,1,8
"9676","shallow-2-1-12","shallow","1",12,1,8,2,1,12,"false","false",349.278503,632.910278,590.551208,319.241943,683.756226,590.551208,4.187041,4.187041,59.0551044758394,413.385872878858,30.5718990505012,177.165352726992,583.819862334871,1,8
